TYPE OF CONTRACT,CONTRACT,PARENT,COMPANY,SERVICE,EXPIRATION,CONTROLLER,ADDRESS1,ADDRESS2,E-MAIL ADDRESS,CONTACT,PHONE #,FAX #,NOTES
STATE,4400006129,4400004480,Tri-Force Consulting Services,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400006616,4400004480,Triplett & Adams Enterprises,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400005757,4400004480,Tripod Technologies LLC,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400006890,4400004480,TriVir LLC,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400006120,4400004480,Unicorn International Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400004996,4400004480,Unisys Corporation,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400007164,4400004480,Veris Associates Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400006620,4400004480,Veritec Solutions LLC,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400004777,4400004480,Versatile Systems Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400005758,4400004480,Vision Information Technologies,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400006107,4400004480,VitalChek Network Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400005750,4400004480,Waterfront Technologies Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400006902,4400004480,Weidenhammer Systems Corp,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400006116,4400004480,Worldgate LLC,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400005781,4400004480,TriLogic Corp,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400007343,4400004480,Contemporary Software Concepts Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400007344,4400004480,ITSM Specialties LLC,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400007345,4400004480,AMO Environmental Decisions Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400007346,4400004480,Harrisburg University of Science&Technology,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400007347,4400004480,Agate Software Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400007348,4400004480,Miria Systems Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400007349,4400004480,Visionary Integration Professionals,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400007350,4400004480,TreCom Systems Group Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400007352,4400004480,Information Builders Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400007353,4400004480,Myesha Oueraogo,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400007354,4400004480,Data-quest Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400007795,4400004480,"Essential Management Solutions, LLC",MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400007355,4400004480,Anexinet Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400007356,4400004480,Rightstar Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400007357,4400004480,Dellicker Strategies LLC,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400007359,4400004480,FTS Solutions,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400007360,4400004480,Canada Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400007781,4400004480,Dobil Laboratories Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400007782,4400004480,Sigma Resources LLC,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400007783,4400004480,"NTT Data, Inc.",MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400007784,4400004480,Lobar Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400007785,4400004480,CDMS,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400007786,4400004480,eScholar LLC,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400007787,4400004480,Teksystems Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400007788,4400004480,Bold Planning Solutions,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400007789,4400004480,JRW Service Corp,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400007790,4400004480,MWF Enterprises Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400007791,4400004480,DYNTEK SERVICES INC,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400007792,4400004480,GLOBAL DATA CONSULTANTS LLC,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400007793,4400004480,AT&T CORP,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400007794,4400004480,IPR International LLC,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400007796,4400004480,Mansai Corporation,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400007799,4400004480,Synergy Media Group,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400008232,4400004480,Grant Thornton LLP,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400007798,4400004480,Unified Solution Group,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400008231,4400004480,SkillNet Solutions Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400008233,4400004480,Strategic BCP Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400008234,4400004480,Lexington Technology Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400008235,4400004480,Swain Online Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400008236,4400004480,BATTAGLIA ELECTRIC INC,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400008237,4400004480,ViON Corporation,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400008238,4400004480,eStrategy Solutions Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400008239,4400004480,Phillips Office Products Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400008240,4400004480,Suss Consulting Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400008241,4400004480,Management Science Associates Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400007797,4400004480,AgileAssets Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400008242,4400004480,Solutran Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400008243,4400004480,TECHNISOURCE INC,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400008244,4400004480,WorldView Solutions Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400008245,4400004480,SLI GLOBAL SOLUTIONS INC,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400008246,4400004480,Development Faction LLC,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400008247,4400004480,Core BTS Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400008248,4400004480,Computer Development Systems LLC,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400008251,4400004480,Verizon Select Services Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400008253,4400004480,Column Technologies Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400008249,4400004480,911 Security Cameras,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400008250,4400004480,Robert J Heath,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400008252,4400004480,Cadre Computer Resources Co,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400008254,4400004480,KCI Technologies,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400008614,4400004480,Marine Information Resources,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400008616,4400004480,Wendel Duchscherer Architects & Engineer,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400008617,4400004480,NAVTEQ North America LLC,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400008618,4400004480,The Jay Group Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400008619,4400004480,Hitachi Data Systems Corp,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400008621,4400004480,V Group Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400008622,4400004480,synergIT Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400008255,4400004480,NIIT Technologies Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400008620,4400004480,VSOLVIT LLC,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400007800,4400004480,Techwave Consulting Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400008615,4400004480,Guidesoft Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400008623,4400004480,Weintraub Telecomm LLC,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400008624,4400004480,Learning Tree International,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400008625,4400004480,AppDev Products LLC,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400008626,4400004480,Mission Critical Partners Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400008627,4400004480,Advanced Facility Management SVCS,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400008628,4400004480,Bradley S Barrett,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400008629,4400004480,Data Systems Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400008630,4400004480,Sabre Systems Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400008631,4400004480,Policy Studies Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400008632,4400004480,Tetra Tech Em Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400008633,4400004480,MCGLADREY & PULLEN LLP,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400009000,4400004480,Linktech Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400009001,4400004480,GL Suite Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400009002,4400004480,SYSCOM Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400009003,4400004480,Advanced Technologies Group Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400009004,4400004480,Sungard Availability Services LP,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400009005,4400004480,Caten McGuire LLC,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400009006,4400004480,InfoTech Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400009007,4400004480,Northampton County Area Community,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400009009,4400004480,Knowledge Key Associates,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400009010,4400004480,"Solutions4Networks, Inc",MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400008999,4400004480,DEBORAH Y WOOD,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400009008,4400004480,L-1 Secure Credentialing Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400009011,4400004480,Intelligent Software Solutions Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400009012,4400004480,Red Privet LLC,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400009013,4400004480,"NextStep Technology Advisors, LLC",MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400009014,4400004480,ESI International Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400009015,4400004480,Diversified Information Technologies Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400009016,4400004480,Clarizen Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400009017,4400004480,FluidEdge Consulting Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400009348,4400004480,Orbit Technologies Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400009349,4400004480,Instant Web Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400009350,4400004480,Information Age Technologies Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400009351,4400004480,Earthlink Managed Services LLC,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400009353,4400004480,Tetra Tech Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400009354,4400004480,New Line Communications Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400009355,4400004480,Sona Networks LLC,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400009356,4400004480,Advances In Management Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400009357,4400004480,MCI Communications Services Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400009358,4400004480,"Cornerstone OnDemand, Inc",MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400009359,4400004480,"Alicare, Inc",MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400009360,4400004480,Beach Street Consulting Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400009361,4400004480,Message4U Pty Ltd,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400009362,4400004480,First Telecom Services LLC,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400009363,4400004480,Windsor Solutions Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400009364,4400004480,Alliance Technology Group LLC,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400009365,4400004480,Innotas,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400009366,4400004480,Iron Data Solutions Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400010115,4400004480,SDLC Partners L.P.,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400010116,4400004480,OpenArc LLC,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400010117,4400004480,Millennium Consulting Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400010118,4400004480,System Automation Corporation,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400010119,4400004480,Xtium Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400010120,4400004480,The Judge Group Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400010121,4400004480,MCM Consulting Group Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400010122,4400004480,Rego Consulting Corporation,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400008998,4400004480,Explore Information Services LLC,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400009347,4400004480,Global Computers and Networks LLC,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400010125,4400004480,INS Services Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400010127,4400004480,Oaktree Systems Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400010123,4400004480,Winbourne Consulting LLC,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400010124,4400004480,OPTiMO Information Technology LLC,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400010126,4400004480,North Highland Company,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400010128,4400004480,Cerner Corporation,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400010129,4400004480,Plan B Technologies,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400010130,4400004480,Aero-Metric Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400010131,4400004480,Tier1 Performance Solutions LLC,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400010132,4400004480,Elegant Enterprise-Wide Solutions,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400010133,4400004480,Informa Systems Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400010134,4400004480,Natus Medical Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400010626,4400004480,Quality Enhanced Management Systems Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400010627,4400004480,Modis Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400010628,4400004480,Young Enterprise Systems Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400010629,4400004480,Health Monitoring Systems Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400010630,4400004480,CSG Government Solutions Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400010631,4400004480,ImageNet Ventures LLC,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400010632,4400004480,One Planet Associates LLC,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400010633,4400004480,Ricoh Americas Corporation,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400010635,4400004480,River Point Technology LLC,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400010871,4400004480,Signature Systems Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400010872,4400004480,Edwards Business Systems Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400010875,4400004480,Ford Business Machines Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400010876,4400004480,Centre Communications Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400010877,4400004480,Henkels & McCoy Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400010878,4400004480,Credo Technology Solutions Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400010879,4400004480,Lincoln Lectronics,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400010880,4400004480,Neo Technologies Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400011060,4400004480,Randstad North America LP,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400011061,4400004480,Springhouse Computer School Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400010634,4400004480,Laser Supply Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400010873,4400004480,Centre Tower Services Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400011062,4400004480,Morrison Consulting Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400011063,4400004480,Creative Enterprise Solutions LLC,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400011064,4400004480,Information Technology Services,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400011065,4400004480,Telvent USA Holdings LLC,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400011066,4400004480,CDI-Infrastructure LLC,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400011067,4400004480,WINstorm Presents Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400011068,4400004480,Innovate! Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400011069,4400004480,Cirdan Group Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400011321,4400004480,GovernmentJobs.com,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400011322,4400004480,North Central Pennsylvania Regional Planning and Development,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400011323,4400004480,JANUS Software Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400011324,4400004480,Spectra Systems Corporation,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400011325,4400004480,Omega Systems,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400011326,4400004480,Level 3 Communications LLC,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400011327,4400004480,Federal Engineering Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400011328,4400004480,"BTM Global Consulting, LLC",MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400011329,4400004480,Connie Driscoll Associates,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400011330,4400004480,ARINC Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400011693,4400004480,Infor (US) Inc,MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400011694,4400004480,"Lexmark Internation, Inc",MASTER IT SERVICES ITQ,12/31/9999,48017,,,,,,,
STATE,4400004713,GS-35F-4543G,DLT SOLUTIONS (ORACLE),DLT SOLUTIONS (ORACLE),3/31/2017,48377,380 New York Street,"Redlands, CA   92373-8118",Andrew_Bogle@Dell.com,,,,
STATE,4400004760,2008MPA 1177,ERSI (ENVIRONMENTAL SYSTEMS RESEARCH INSTITUTE),GIS SOFTWARE AND SERVICES,6/30/2016,49029,359 East Park Drive,"Harrisburg, PA  17111-2730",kreichenbach@rohrerbus.com,John Reen,800-735-3900,717-957-0158,
STATE,4400006326,4400006326,"MCI WORLDCOM, d/b/a VERIZON",IT & COMMUNICATIONS EQUIPMENT & SERVICES,10/30/2016,49082,,,,,,,
STATE,4400007199,6100012054,"Dell Marketing, LP",ENTERPRISE SOFTWARE,12/31/2015,48836,One Dell Way RR8-6,"Round Rock, TX   78682",,Andrew Bogle,215-679-4446,215-679-5053,
STATE,4400007363,6100012054,IBM Corporation,ENTERPRISE SOFTWARE,12/31/2015,48836,,,,,,,
STATE,4400007635,4400007627,Safety League Inc DBA Atlantic Tactical,BODY ARMOR,2/14/2016,49007,,,,,,,
STATE,4400007638,4400007627,North Eastern Uniforms & Equipment,BODY ARMOR,2/14/2016,49007,,,,,,,
STATE,4400007639,4400007627,Markl Supply Company,BODY ARMOR,2/14/2016,49007,,,,,,,
STATE,4400007640,4400007627,Witmer Public Safety Group Inc,BODY ARMOR,2/14/2016,49007,,,,,,,
STATE,4400007634,4400007627,Hess Embroidery,BODY ARMOR,2/14/2016,49007,,,,,,,
STATE,4400007636,4400007627,Central Lake Armor Express Inc DBA Armor Express,BODY ARMOR,2/14/2016,49007,,,,,,,
STATE,4400010158,4400007627,WITMER PUBLIC SAFETY GROUP INC,BODY ARMOR,2/14/2016,49007,,,,,,,
STATE,4400013690,4400007627,Gentex,BODY ARMOR,2/14/2016,49007,,,,,,,
STATE,4400013691,4400007627,McDonald Uniform,BODY ARMOR,2/14/2016,49007,,,,,,,
STATE,4400008393,4400008392,LEXISNEXIS,ONLINE LEGAL RESEARCH,6/30/2016,50765,9443 Springboro Pike,"Miamisburg, OH  45342",,,678-694-3946,866-960-4770,
STATE,4400008394,4400008392,West Publishing Corporation/West A Thomson Reuters Business,ONLINE LEGAL RESEARCH,6/30/2016,50765,,,,,,,
STATE,4400008507,4400008504,Earthborne Inc,CONSTRUCTION EQUIPMENT - PA-DOT SPEC'D,10/31/2015,50005,,,,,,,
STATE,4400008509,4400008504,Groff Tractor and Equipment Inc,CONSTRUCTION EQUIPMENT - PA-DOT SPEC'D,10/31/2015,50005,,,,,,,
STATE,4400008510,4400008504,Highway Equipment & Supply Co,CONSTRUCTION EQUIPMENT - PA-DOT SPEC'D,10/31/2015,50005,,,,,,,
STATE,4400008511,4400008504,JCB Inc,CONSTRUCTION EQUIPMENT - PA-DOT SPEC'D,10/31/2015,50005,,,,,,,
STATE,4400008512,4400008504,Plasterer Equipment Co Inc,CONSTRUCTION EQUIPMENT - PA-DOT SPEC'D,10/31/2015,50005,,,,,,,
STATE,4400008513,4400008504,Stephenson Equipment Inc DBA service Supply Corporation,CONSTRUCTION EQUIPMENT - PA-DOT SPEC'D,10/31/2015,50005,,,,,,,
STATE,4400008514,4400008504,Tracey Road Equipment Inc DBA Tracey Freightliner Inc,CONSTRUCTION EQUIPMENT - PA-DOT SPEC'D,10/31/2015,50005,,,,,,,
STATE,4400010746,4400008504,Highway Equipment Company,CONSTRUCTION EQUIPMENT - PA-DOT SPEC'D,10/31/2015,50005,,,,,,,
STATE,4400009324,4400009324,AB Sciex,LAB SUPPLIES AND EQUIPMENT,12/31/2015,49634,,,,,,,12/5 e/m state
STATE,4400009265,4400009324,Agilent Technologies,LAB SUPPLIES AND EQUIPMENT,12/31/2015,49634,,,,,,,
STATE,4400009268,4400009324,Arbill Industries,LAB SUPPLIES AND EQUIPMENT,12/31/2015,49634,,,,,,,
STATE,4400009269,4400009324,Accustandard Inc,LAB SUPPLIES AND EQUIPMENT,12/31/2015,49634,,,,,,,
STATE,4400009270,4400009324,Avioq Inc,LAB SUPPLIES AND EQUIPMENT,12/31/2015,49634,,,,,,,
STATE,4400009271,4400009324,B&B Microscope,LAB SUPPLIES AND EQUIPMENT,12/31/2015,49634,,,,,,,
STATE,4400009272,4400009324,Biotage LLC,LAB SUPPLIES AND EQUIPMENT,12/31/2015,49634,,,,,,,
STATE,4400009273,4400009324,Fisher Scientific,LAB SUPPLIES AND EQUIPMENT,12/31/2015,49634,,,,,,,
STATE,4400009275,4400009324,Hach Company,LAB SUPPLIES AND EQUIPMENT,12/31/2015,49634,,,,,,,
STATE,4400009276,4400009324,IDEXX,LAB SUPPLIES AND EQUIPMENT,12/31/2015,49634,,,,,,,
STATE,4400009278,4400009324,Leica Microsystems,LAB SUPPLIES AND EQUIPMENT,12/31/2015,49634,,,,,,,
