code,category_friendly_name,examples,category,parent_category
28500,"Lamps, lighting, and electronic equipment and supplies","Analyzer, Electric Power Demand | Arresters, Lightning | Back-up Systems, Battery Operated (Emergency) | Beacon Light Systems Complete For Buildings, Roadside, etc. (See Class 120 for Marine Beacons) | Ballasts, All Kinds | Bulb and Fixture, Changer/Remover | Bus Bars, Duct, and Accessories | Cabinets, Electrical Service Entrance | Cable Accessories: Clamps, Clasps, Clips, Closures, Reels, Splices, Wrappings, etc. | Capacitors, Motor Starting and Running | Compound, Explosion Proof Sealing | Circuit Breakers, Load Centers, Boxes, and Panelboards | Coatings, Protective, Electrical | Commutators, Resurfacers, Stone | Conduit and Fittings, Fiber and Asbestos-Cement | Conduit and Fittings, Cast Iron and Malleable Iron | Conduit and Fittings, Plastic/Pvc | Conduit and Fittings, Fiberglass | Conduit and Fittings, Aluminum | Conduit and Fittings, Rubber | Conduit Fittings, Steel: Boxes, Bushings, Clamps, Connectors, Covers, Locknuts, Straps, etc. | Conduit and Fittings, Brass, Bronze, and Copper | Current Collection Equipment and Accessories, Electrical | Conduit, Steel | Control Devices, Lighting (Including Photocells, Multiple Relays, Lighting Contactors) | Cutouts, Pole Line Type | Dimmers, Light (See Class 855 for Theatre Dimmers) | Dielectric Tools, Tool Handles, Hydraulic Hose and Fittings (High ANSI Rated) | Fluorescent Tube Crushers and Diposers | Fluorescent and HID Lamp Energy Saving Devices | Fog Light Systems (Not Automotive) | Fuses, Fuse Blocks and Holders, Links, etc. | Gaskets, Meter | Gates, Electric (Including Card Readers, etc.) | Generators, Portable, Engine Driven (Including Fog and Mist Types) | Generators, Stationary Type (Not Automotive) | Grounding Rods and Fittings | Hose, Protective Line | Insulation Materials and Insulators: Compounds, Varnish, etc. | Induction Heating Equipment, Parts and Accessories | Isolation System (For Computer Center) | Lamps, Projector | Lamps: Construction Equipment, and Miniature | Lamps: Decorative, Household | Lamps: Desk, Floor, and Table | Lamps, Miscellaneous (Not Otherwise Classified) | Lamps: Fluorescent, Incandescent, Mercury Vapor, Quartz, and Sodium Vapor | Lamps: Scientific Instrument: Microscope, Oscilloscope, etc. | Lamps: Portable, Shop, and Work Site | Lens and Reflectors, Replacement | Lighting Fixtures, Indoor: All Kinds and Parts (Including Lampholders and Recycled Types) | Lighting, Area, Pole or Standard Mounted (Parking Lots, etc.) | Lighting Fixtures, Outdoor: Floodlights, Spotlights, Yard Lights, and all other Weatherproof Fixtures (Except Streetlights) (Including Recycled Types) | Lighting, Solar Powered | Lighting Units, Emergency, Battery Operated; and Batteries | Light Meters and Reflectometers (For Office Illumination Measurement, Reflectivity, etc. (Not Photographic or Lab) | Locators, Cable | Meters, Indicating and Recording of Power Consumption | Meters, Indicating and Recording (Of Powerline Fluctuations -Voltage or Amperage -Not Hand Tool Type) | Meters, Hand Held: Voltage, Amperage, Multi-Hand Held, Phase Indicators, etc. | Motor Controllers, Contactors, Push Button Stations, Relays, Safety Switches, Starters, Coils and Brushes | Ignition, Starting Aid, High Pressure Sodium, All Types | Monitors and Related Equipment, Power Line | Power Systems Switchgears and Related Accessories | Motors and Parts, Fractional H.P. Electric | Misc. Electrical Equipment and Supplies (Not Otherwise Classified) | Motors and Parts, Integral H.P., Single Phase, Electric | Motors and Parts, Integral H.P., Three Phase, Electric | Resistors (Non-Electronic) | Relays (Non-Electronic) | Pole Line Hardware: Anchors, Arms, Bolts, Braces, Brackets, Clevises, Connections, Insulators, Plates, Pole Steps, Racks, Rods, Shackles, Straps, Thimbles, Washers, etc. | Repair Kits (For Contactors) | Street and Highway Lighting Luminaires, Accessories and Parts | Square Duct and Fittings | Structural Supports and Racks, Mechanical Type: Angles, Braces, Brackets, Channels, Clips, Fittings, Spring-Nuts, etc. | Switches, Miscellaneous | Street Light Poles and Standards | Tools, Electricians' and Lineman's (Including Cable Fault Locators, Cable Pullers, Press Boosters and Heads, Hotsticks, Testing Equip., etc.) (See 285-30 for Dielectric Tools) | Transformer Equipment, Type 1 KVA and less | Towers, Light | Transformers, Transmission Line Type | Transformers, Dry Type, For Indoor or Outdoor Applications | Transformers, Power Distribution (Including Fluid Filled, Pad and Pole Mount) | Transformers, Power, Electric Sub-Station | Tube Guard and Safety Sleeves (For Fluorescent Fixtures) | Unilets | Voltage Line Thermostats, Inverters, Converters, Spike and Surge Controllers | Valves, Electro Pneumatic | Wire and Cable Markers and Marker Ties | Wire Molding, Raceways, Accessories, and Fittings | Voltage Regulators | Wiring Devices: Adapters, Caps, Connectors, Extension Cords, Fluorescent and HP Starters, Outlets, Plates and Covers, Plugs, Receptacles, Switches, Terminals, etc.(Incl.Recycled Electrical Products, Supplies) | Uninterruptible Power Supplies",ELECTRICAL EQUIPMENT AND SUPPLIES (EXCEPT CABLE AND WIRE),Construction supplies and services
54000,Lumber and vinyl siding,"Asbestos Sheets, All Types (Except Insulation and Roofing) | Asbestos Siding, Flat | Blocking Wood | Bridge Timbers and Railroad Ties, Treated | Forms, Wood (See 210-13 and 755-73 for Concrete Forms) | Lumber, Cedar | Lumber, Cypress | Lumber, Fir | Lumber, Hardwood, All Kinds | Lumber, Parana Pine | Lumber, Poplar and Willow | Lumber, Redwood | Lumber, Softwood (SPF) | Lumber, Southern Pine, Laminated Structural Type | Lumber, Treated: Creosote, Penta, Wolmanized, etc. | Lumber, Treated: Fire Retardant | Lumber, Walnut | Lumber, White Pine | Lumber, Yellow Pine | Oriented Strandboard (OSB, Wafer Board) | Particleboard, All Types | Plastic Lumber and Related Products | Pressed Paper Sheets | Pressed Wood Sheets: Masonite, etc. | Pilings, Treated | Pipe Sticks, Wooden | Plywood, Softwood (SPF) | Plywood, Hardwood Type (Except Decorative and Plastic Faced) | Plywood Panels, Decorative, Prefinished | Plywood Panels, Decorative, Unfinished | Plywood Panels, Plastic Faced (For Highway Signs, etc.) | Poles, Treated and Untreated | Posts, Cedar | Posts, Treated and Untreated (Including Wooden Guardrail Posts - See 570-28 for Metal Posts) | Railings | Recycled Lumber | Sawdust and Shavings | Wood and Lumber Products, Scrap or Waste | Sheetrock and Accessories: Cement, Corners, Floating Compound, etc. (For Tape See Class 832) (Including Recycled Type) | Shakes and Shims, Wood | Siding, Prefinished Particleboard | Siding, Vinyl Clad (Including Recycled Types) | Siding, Wood, All Types | Stakes: Engineers', Agricultural, etc. | Structural Wood Products (Not Otherwise Classified): Beams, Framing Lumber, Planks, Joists, etc. | Timbers, Construction Type (Laminated, Treated and Untreated) | Underlayment | Veneers, All Kinds | Wood Bi-Products (Not Otherwise Classified) | Wood, Fire",LUMBER AND RELATED PRODUCTS,Construction supplies and services
54500,Machinery and industrial hardware,"Bits, Dies, Reamers, Taps, etc. (For Stationary Power Tools) | Broaching Machines and Tools | Blades, Power Saw, Stationary: Circular and Reciprocating | Bushings, Machinery (Not Otherwise Classified) | Chain Hoists and Cable Lifts | Can Crusher, Industrial (Paint, etc.) | Can Puncturing and Biofiltration Unit, Aerosol | Chain Saws | Coating Machines, All Types | Compactors, Trash, Industrial, Stationary (See 045 and 165 for Other Types) | Compressors, Gas (All Types) | Contaminated Air and Vapor Treatment Equipment | Contaminated Soil Treatment Equipment | Drills, Stationary, Air Powered: Arbor, Press, etc. | Drills, Stationary, Electric Powered: Arbor, Press, etc. | Drills, Stationary, Hydraulic Powered: Arbor, Press, etc. | Gin Machinery | Exploration Equipment (Not Otherwise Classified) | Filtering Equipment and Machinery | Grinders and Buffers: Bench, Portable, and Stand | Heat Treating and Tracing Equipment, Parts and Accessories (Electric) | Impact Tools, Air Powered (Not Road Building) | Impact Tools, Electric Powered (Not Road Building) | Impact Tools, Hydraulic Powered (Not Road Building) | Industrial Type Steam and High Pressure Water Cleaning Equipment, Accessories and Supplies | Jacks, Industrial: Hydraulic, Screw, and Track | Industrial Compressors, All Types (Not Otherwise Classified) | Industrial Commercial and Professional Equipment and Supplies (Not Otherwise Classified) | Key Duplicating Machines, Accessories and Parts | Industrial and Construction Machinery, Equipment, Components and Parts (Not Otherwise Classified) | Lathe, Metalworking, Accessories and Supplies | Lathe, Woodworking | Lumber Equipment, Not Otherwise Classified (Including Mills, Processing Machines, etc.) | Lifts, Platform, Telescoping and Laterally Powered (Incl. Capstans) | Machines, Roofing: Roof Scratchers, Rotary Spudders, etc. | Machine Work Station Center and Components (Incl. Tool Changing, Transfer, and Way-Type Machines) | Masonry Saws and Blades (See Class 755 for Road and Highway Concrete Saws) | Metal Electroplating Machine, Accessories & Supplies | Manufacturing and Processing Equipment (Not Otherwise Classified) | Metalworking Machines and Tools, (Not Itemized Herein), Portable and Stationary | Mills, Iron and Steel | Mining Machinery and Equipment (See 545-51 for Oil and Gas Equip.) | Milling Machines | Motors and Engines (Including Parts), Industrial, All Types (Not Automotive, Lawn or Marine) | Oil and Gas Machinery and Equipment (Drilling Rigs, etc.) | Oil Spillage Containment, Purification, and Recovery Equipment | Ovens, Industrial Process and Heat Cleaning | Planers, Electric | Pollution Detection and Control Equipment (Other Than Oil Spill) | Post Straighteners and Pullers, Hydraulic | Posthole Diggers and Earth Drills, Powered, Portable | Presses, All Capacities (Not Wastepaper or Other Paper Material) | Production Type Impregnation Equip. (Not for Clothing Impregnation) | Presses, Wastepaper or Other Material (Not Automotive or Printing) | Refuse/Garbage Burning Equipment | Router, Air/Pneumatic | Router, Electric | Rubber Processing and Working Equipment | Salt Brine Production Equipment | Sandblasting Equipment and Accessories | Sanders, Bench or Portable: Belt, Disc, and Finishing | Saws, Stationary, Powered: Band, Scroll, Radial Arm, Table, Veneer, etc. | Soil Measuring Equipment (Not Otherwise Classified) | Spindle Centering Machine, Single | Shapers and Jointers, Wood | Springs, Coil and Leaf (Industrial) | Shield, Trench (Worker Protection) | Sharpeners: Lawn Mower, Saw, etc. | Shredder, Metal/Wood | Shredder, Aerator, and Composter for Sludge | Shears, Metal, Electric | Tire Shredder | Trowler, Concrete, Engine Driven | Windmills and Parts | Vacuum Cleaners and Dust Collectors for Hazardous Material | Vapor Extraction Equipment, Soil | Woodworking Machines and Tools (Not Otherwise Classified), Portable and Stationary | Wash System, Three-Stage, Industrial, Stainless Steel | Water Distillation Equipment, Marine and Industrial | Wire Dispenser Fabrication Equip., Communication | Tunneling Equipment | Recycled Machinery and Hardware, Industrial | Water Well Drilling Equipment","MACHINERY AND HARDWARE, INDUSTRIAL",Construction supplies and services
94000,Maintenance and repair services: railroad equipment,"Cargo Transport Services, Rail | Construction, Elevated Transit Station (Including Rehab., Maintenance and Repair) | Construction, Rail Station/Shop (Including Rehab., Maintenance and Repair) | Construction, Subway and Subway Station (Including Rehab., Maintenance and Repair) | Construction, Transit Facility, Other (Including Rehab., Maintenance and Repair) | Passenger Transportation Services, Railroad | Power Supply Installation, Electric | Power Supply Maintenance and Repair, Electric | Rail Car Maintenance and Repair | Rail Grinding | Railroad Construction at Street Intersection (Including Maintenance and Repair) | Railroad Switching and Terminal Services | Signal System Installation | Signal System Maintenance and Repair | Tower Construction | Tower Maintenance and Repair | Track Construction and Inspection | Track Maintenance and Repair | Tram Construction and Maintenance Services | Weed/Brush Control Services","EQUIPMENT MAINTENANCE, REPAIR, CONSTRUCTION, AND RELATED SERVICES - RAILROAD",Construction supplies and services
95900 | 96200,Marine construction and equipment services,"Aquatic Planting and Harvesting Services | Barge Maintenance and Repair | Boats and Motors Maintenance and Repair | Breakwater and Harbor Construction, Maintenance and Repair Services | Buoys and Light Services Including Maintenance and Repair | Cargo Handling Services, Marine | Cargo Transport Services, Marine (Incl. Air-Ocean, Ocean-Rail, Ocean-Truck Intermodal Cargo Services) | Construction Services: Boats, Barges, Ferries, Ships, etc. | Construction Services, General (Marine) | Crane Maintenance and Repair, Marine | Dam and Levee Construction, Maintenance, Management and Repair | Docking and Stevedoring Services | Drawbridge Operations Services | Electronic and Communication Equipment Services (Including Installation, Maintenance and Repair) | Ferry Maintenance and Repair | Marina Services | Marine Equipment Maintenance and Repair (Not Otherwise Listed) | Marine Life Services | Marine Survey Services (Including Sonar Radar, Location/Recovery of Sunken Objects, etc.) | Passenger Transportation Services, Ship or Ferry | Port and Harbor Operation Services | Reef Services, Artificial | Reef Construction Services Including Maintenance and Repair | Reservoir Maintenance and Management Services | Seeding Services, Clam and Oyster Bed | Ship Maintenance and Repair | Storage, Lifting, and Launching of Boats | Sunken Vessel Services (Raising, etc.) | Touring Transportaion, Marine | Towing Services, Marine | Waterfront Construction Services Including Piers, Docks, Decking, etc. (Includes Maintenance and Repair) | Diving services",MARINE CONSTRUCTION SERVICES;  MARINE EQUIPMENT MAINTENANCE AND REPAIR;  RELATED MARINE SERVICES,Construction supplies and services
56000,Material handling and storage equipment,"Cargo Handling Equipment | Carts, Industrial, All Kinds (Except Gas and Hospital) | Conveying Systems, Food Processing | Conveyor Accessories (Not Otherwise Classified) | Conveyor Line Boosters, Powered | Conveyor Systems, Overhead | Conveyors and Hoists, Laundry Handling | Conveyors, Belt Type: Canvas, Metal, and Rubber | Conveyors, Bucket Type (Not Road Building) | Conveyors, Gravity, Roller Type, Aluminum and Steel Frames | Conveyors, Gravity, Wheel Type, Aluminum and Steel Frames | Conveyors, Pneumatic | Conveyors, Powered, Roller Type | Conveyors, Screw Type | Conveyors, Vibrating | Conveyor, Vertical Reciprocating | Cranes, All Kinds (Except Automotive and Road and Bridge Building) | Dockboards and Ramps, All Types | Drum and Other Container Handling Equipment (Not Otherwise Classified) | Fuel and Fuel Oil Handling Equipment | Lifters and Stackers, Hydraulic and Powered | Lifting and Loading Equipment and Accessories (Not Otherwise Classified) | Liquid Mixing Equipment | Material Handling Equipment Batteries and Chargers | Pallet Storage Racks | Pallets and Skids (Metal, Plastic, Wood) | Tow, Battery Powered | Tie-Downs, Straps, etc. | Tractors, Warehouse | Trucks, Barrel, Cylinder, and Drum | Moving Devices, Equipment | Trucks, Dolly | Trucks, Hand, Shelf | Trucks, Hand, Two-Wheeled | Trucks, Lift, Hand Operated | Trucks, Lift, Powered: Fork Lifts, etc. | Trucks, Pallet, Hand Operated and Powered | Trucks, Platform | Storage, Shelving, and Accessories (Not Otherwise Classified) | Warehouse Equipment and Supplies (Not Otherwise Classified) | Wheels, Industrial, Steel, Pneumatic, and Rubber Tired Molded-on | Recycled Material Handling and Storage Equipment and Accessories",MATERIAL HANDLING AND STORAGE EQUIPMENT AND ALLIED ITEMS,Construction supplies and services
57000,Metal stock,"Alloy Coatings and Sealers for the Repair of Metal Shafts, Journals, Spindles, etc. | Alloy Metal: Angles, Sheets, etc. (Not Otherwise Classified) | Aluminum: Bars, Plates, Posts, Rods, Sheets, Siding, Strips, Structural Shapes, Tubes, etc. | Aluminum Ingots | Bar Stock, All Kinds (Not Otherwise Classified) | Bolt and Stud Stock, Steel | Brass and Bronze: Bars, Plates, Rods, Sheets, Strips, etc. | Brass Ingots | Bronze Ingots | Bushing Stock, Brass and Bronze | Cast Iron, Primary and Semi-Finished | Crayons, Metal Worker's | Coil Stock | Copper: Bars, Plates, Rods, Sheets, Strips, etc. | Cutting Rod | Decking, Steel | Earth's Metals (Not Otherwise Classified) | Expanded Metal (Not Stainless) | Expanded Metal, Stainless | Forms, Metal (For Concrete Curbs, Columns, and Gutters) | Foil Stock | Ferrous and Non-Ferrous Metals | Guard Rails and Accessories: Bolts, Posts, Terminal Ends, Washers, etc. (See 540-73 for Wood Posts) | Iron: Angles, Bands, Plate, Sheets, etc. | Ingots (Not Otherwise Classified) | Lead: Bulk, Granulated, Strips, etc. (Not Plumbing or Paint) | Keystock, All Sizes | License Plate Blanks | License Plates Complete (Purchased Through Bid Process) | Magnesium Alloy: Bars, Plates, Rods, Sheets, Strips, etc. | Magnesium Alloy Ingots | Metals, Alkali (Not Otherwise Classified) | Nickel | Ornamental Ironwork | Pig Iron Ingots | Posts, Steel (For Delineator Markers, Mile Markers, etc.) | Posts, Metal (Other Than Steel) | Post-Tensioned Type Reinforcing System (For Concrete Slabs) | Precious Metals: Gold, Silver, etc. (See 175-19 and 260-52 for other uses) | Rails, Railroad, Steel | Scrap Metals, All Kinds | Shafting: Bronze, Monel, Stainless Steel, Steel, etc. | Sheet Metal, Fabricated (Custom-Made Sheet Metal Items) | Sheet Piling, Steel | Shim Stock | Spring Steel | Stainless Steel: Bars, Plates, Rods, Sheets, Strips, Tubes, etc. | Steel Bridge Truss, Overhead | Steel, Cold Rolled: Bars, Plates, Rods, Sheets, and Strips | Steel, Fabricated: Beams, Gabions, Gratings, Walkways, Window Bars, and Custom-Made Steel Items | Steel, Galvanized: Bars, Pipes (Not Plumbing), Plates, Rods, Sheets, Strips, etc. | Steel, Mild: Bars, Plates, Rods, Sheets, Strips, Tubes, etc. | Steel, Reinforcing, Bars and Rods | Steel, Reinforcing, Mesh | Steel, Reinforcing, Fabricated | Steel Siding | Steel Sheets, High Carbon (For License Plates, etc.) | Steel Studs, Dry Wall | Steel Wire Panels (For Partitions, Window Guards, etc.) | Structural Shapes, Other Than Steel: Angles, Channels, I-Beams, etc. | Structural Shapes, Steel: Angles, Channels, I-Beams, etc. | Tin | Titanium | Tool Steel: Bars, Drill Rod, Flat Stock, etc. | Tile, Metal | Transition Metals (Not Otherwise Classified) | Tubing, Mechanical, Steel: Rectangular, Round, Square, etc. (See 570-91 for Structural Tubing) | Tubing, Structural Grade | Zinc: Anodes, Sheets, etc. | Recycled Metals and Related Items","METALS: BARS, PLATES, RODS, SHEETS, STRIPS, STRUCTURAL SHAPES, TUBING, AND FABRICATED ITEMS",Construction supplies and services
75000,Non-asphalt road materials,"Ash, Fly and Bottom | Borrow and Soil (See Class 790 for Top Soil) | Caliche | Cement, Truckload Lots and Larger | Concrete Curing Blankets and Paper | Concrete, Precast | Concrete Crack Repair Adhesive (Structural Urethane) | Crushed Stone (Includes Riprap) | Drilling Mud | Dust Control Agents | Dynamite and Supplies: Caps, Fuses, Powder, Stick, and Wire | Expansion Joint Repair Adhesive (Structural Urethane) | Fabric, Pavement | Flexible Base | Ice Control Aggregate (See Class 775 for Salt) | Lightweight Aggregate, All Types | Patching Materials (Not Asphaltic) | Ready-Mix Concrete | Recycled Road Materials (Not Asphaltic) | Sand and Gravel | Shell | Slag | Stabilized Base | Storage Bins, Aggregate | White (Hydrated) Lime | Water for Road and Highway Use",ROAD AND HIGHWAY BUILDING MATERIALS (NOT ASPHALTIC),Construction supplies and services
63000,"Paint, varnish, and wallpaper","Additives and Miscellaneous Paint Ingredients: Driers, Fungicides, Latexes, Pigments, Surfactants, etc. | Bleach, Wood | Caulking Compounds, Bulk or Cartridge Type | Coatings, Masonry (For Brick, Cinder Block, Concrete, etc.) | Coatings, Protective, Polyurethane, etc. | Coatings, Protective, Asphalt Based (Also See Class 770-26) | Coatings, Protective, Zinc-Rich (Cold Galvanizing Compound) | Colors, Tinting (Oil or Universal Type) and Lettering | Fillers and Sealers, Masonry: Block Fillers, Water Repellent Solutions, etc. | Fillers and Sealers, Wallboard | Fillers and Sealers, Metal | Fillers and Sealers, Wood: Paste, Plastic Wood, Sanding Sealers, etc. | Fillers and Sealers, Fiberglass | Fire-Retardant and Heat-Resistant Coatings (Not Aluminum Paint) | Lacquer and Shellac, Clear and Colored | Linseed Oil | Mix, Paint Water | Paint and Varnish Removers (Includes Painted Graffiti Removers) (See 485-16 for Other Types of Graffiti Removers) | Paint, Aluminum (Not Roof Coating) | Paint, Automotive and Machinery | Paint, Deck and Floor | Paint, Freezer and Wet Surface | Paint, House and Trim | Paint, Miscellaneous: Blockout, Bronzing Liquid, Epoxy, Fluorescent, Oil Paste, Reflective, Tint Base, Tree Pruning, USDA Approved, etc. | Paint, Marine | Paint, Masonry | Paint, Rust Preventative | Paint, Sports Court (Outdoor) | Paint, Spray (Aerosol) | Paint, Swimming Pool | Paints, Traffic | Paint Sticks, Annealing | Primers, Rust Inhibiting: Red Oxide, Zinc Chromate, etc. | Putty, Glazing (Metal and Wood Sash) | Putty: Lacquer, Plumbers, Tape | Recycled Paints, Lacquers, Shellacs, Varnish, Primers, Coatings, Sealers, etc. | Sealers and Primers, Paint | Stains and Varnishes | Textured Coatings, All Kinds | Thinners (Reducers): Alcohols, Aromatic Solvents, Esters, Ketones, Mineral Spirits, Turpentine, V M and P Naphtha, etc. | Wall Coverings, Fabric and Plastic | and Accessories (Including Recycled Types) | Wallpaper, Paste, and Canvas (Including Paper Hanger Tools and Recycled Types) | Wood Preservative and/or Water-Repellent Finishes","PAINT, PROTECTIVE COATINGS, VARNISH, WALLPAPER, AND RELATED PRODUCTS",Construction supplies and services
63500,Painting equipment and accessories,"Can Opener, Paint (Pneumatic) | Cleaner and Conditioner, Paint Brush | Compressors, Portable Paint Sprayer, Electric Motor or Engine Driven (Up to 25 CFM @ 100 PSI) | Drop Cloths, Hoods and Mitts, Painter's | Filter Pads, Paint Arrester | Masking Film (Spray Booth Lining), Masking Paper, etc. | Paint Conditioners, Mixers, Shakers, and Tinting Machines | Paint and Varnish Removing Equipment | Rollers, Paint Can Holders, Trays and Accessories | Screens and Strainers | Spray Booths and Accessories, Paint | Spray Booths and Accessories, Water Wash | Sprayer Components and Accessories: Guns, Hoses, Pots, Regulators, Tanks, etc. | Sprayers and Spray Systems, Industrial, Heavy Duty | Spraying Outfits, Portable, Light Duty | Recycled Painting Equipment and Accessories",PAINTING EQUIPMENT AND ACCESSORIES,Construction supplies and services
65800,Pipe and tubing,"Pipe, Alloy Steel, Chrom-Moly, Stainless | Pipe, Aluminum | Pipe, Asbestos-Cement | Pipe, Bituminized Fiber | Pipe, Bonded (All Types) | Pipe, Brass | Pipe, Bronze | Pipe, Cast Iron | Pipe, Chrome | Pipe, Clay (Terra Cotta) | Pipe, Concrete | Pipe, Copper | Pipe, Ferrous Alloy | Pipe, Fiberglass | Pipe, Iron (Includes Ductile Iron Pipe) | Pipe, Lead | Pipe, Magnesium | Pipe, Non-Ferrous Alloy | Pipe, Plastic (Incls. Fiber Reinforced Plastic Pipe, Polybutylene Pipe) | Pipe, Polyethylene | Pipe, PVC (Polyvinyl Chloride) | Pipe, Rubber | Pipe, Soil | Pipe, Stainless Steel | Pipe, Steel | Pipe, Steel, Wrought | Pipe, Tin | Pipe, Titanium | Pipe, Zinc | Tubing, Brass, Bronze, and Copper (See 570-91 for Structural Tubing) | Tubing: Ferrous and Non-Ferrous Alloy | Tubing: Iron, Lead, Magnesium | Tubing, Plastic and PVC | Tubing: Tin, Titanium, Zinc | Tubing, Stainless Steel (See 570-91 for Structural Tubing) | Tubing, Steel | Recycled Pipe and Tubing | Tubing (Not Otherwise Classified)",PIPE AND TUBING,Construction supplies and services
65900,Pipe and tubing fittings,"Adapters | Bends | Bushings | Caps | Connectors | Couplings | Crosses, Crossovers, Curves | Elbows, Steel | Elbows (Other than Steel) | Ells | Extensions, Pipe | Ferrules, Flanges, Glands | Hubs, Increasers, Inserts, Joints | Laterals, Nipples | Lining, Pipe (Cement, Epoxy, etc.) | Offsets, Plugs, Pipe Rests | Reducers | Saddles, Sleeves, Straps | Tubing Fittings (Brass, Bronze, and Copper) | Tubing Fittings (Plastic, PVC) | Tubing Fittings (Stainless Steel) | Tubing Fittings (Steel) | Tees, Steel | Tees (Other Than Steel) | Unions | Vees (V) | Wyes (Y) | Recycled Pipe and Tubing Fittings | Pipe Fittings, Misc. (Not Otherwise Classified)",PIPE AND TUBING FITTINGS,Construction supplies and services
66500,Plastic materials for construction,"Acetate Film and Sheets | Acrylic Rods and Tubes (Methyl Methacrylate) | Acrylic Mirrors | Acrylic Sheets (Methyl Methacrylate) | Bag Sealing Equipment, Including Tape and Accessories | Bumper and Guard Rails, Poly. (See Class 570 for Metal Type) | Bags and Liners, Plastic: Garbage Can Liners, Janitor Cart Liners, Linen Hamper Liners, Litter Bags, Polyethylene Bags, etc. | Burnishers for Plastic | Contact Cement (For Plastic Laminates) | Coatings, Protective for Plastics, etc. | Edging Tape, Polypropylene (For Mesh Screening) | Engraving Machines (For Nameplates), Accessories, and Stock (Laminated) | Envelopes, Plastic and Poly. | Fiberglass Structural Shapes: Angles, Channels, I-Beams, etc. | Fiberglass, Plastic and Poly. Castings | Fiberglass Sheets, Panels, etc. (Incl. Reinforced Types) | Fiberglass Supplies: Catalysts, Cloth, Resins, etc. | Gratings: Fiberglass, Plastic, Poly., etc. | Heat Sealing Equipment, Film, and Supplies | Laminates, Polycarbonate: Ballistic, Break-Resistant and Forced Entry Types | Laminating Presses, Film, ID Pouches, and Supplies | Landfill Liners | Mesh Screening, Fiberglass and Plastic | Nameplates (Engraved) and Easels | Pilings, Plastic | Plastic Rods and Tubes (Except Acrylic) | Plastic Forming and Molding Equipment: Blow Molding, Extrusion Equipment, Injection Molding, Vacuum Forming, etc. | Plastic Forming and Molding Supplies: Catalysts, Colorants, Mold Release Compounds, Resins, etc. | Plastics Processing Equipment and Supplies (Not Otherwise Classified) | Polypropylene Film, Rods, Tubes, etc. | Plastics and Related Products, Scrap or Waste | Plastic Laminates: Decorative, High and Low Pressure Type Veneers (As Used for Desk Tops, Cabinetry, etc.) | Plastic, Polyethtlene and Fiberglass Products and Supplies, Recycled | Plastic Sheets and Strips (Except Acetate, Acrylic, and Polycarbonate) | Plastic Edge Molding (For Desks, Counter Tops, and Tables) | Polyimide Film | Polycarbonate Sheets | Polyethylene Bags, Self-Sealing, Reclosable | Polyethylene Film, Rods, Tubes, etc. | Polyvinyl Chloride Rods and Sheets | Polyethylene Film, Reinforced | Polyurethane | Shrink Film Packaging Equipment and Supplies | Stretch Film and Wrapping Equipment | Sheeting, Plastic, Reinforced (Not Polyethylene) | Structural Plastic Shapes: Angles, Bars, etc. | Teflon Sheets and Rods | Thermoplastic Plastics | Thermoset Plastics","PLASTICS, RESINS, FIBERGLASS: CONSTRUCTION, FORMING, LAMINATING, AND MOLDING EQUIPMENT, ACCESSORIES, AND SUPPLIES",Construction supplies and services
