code,category,parent_category
60500,"OFFICE MECHANICAL AIDS, SMALL MACHINES, AND APPARATUSES",Office supplies and furniture
61000,"OFFICE SUPPLIES: CARBON PAPER AND RIBBONS, ALL TYPES",Office supplies and furniture
61500,"OFFICE SUPPLIES, GENERAL",Office supplies and furniture
62000,"OFFICE SUPPLIES: ERASERS, INKS, LEADS, PENS, PENCILS, ETC.",Office supplies and furniture
64000,"PAPER AND PLASTIC PRODUCTS, DISPOSABLE",Office supplies and furniture
64500,PAPER (FOR OFFICE AND PRINT SHOP USE),Office supplies and furniture
83200,"TAPE (NOT DATA PROCESSING, MEASURING, OPTICAL, SEWING, SOUND, OR VIDEO)",Office supplies and furniture
87000,"VENETIAN BLINDS, AWNINGS, AND SHADES",Office supplies and furniture
93900,"EQUIPMENT MAINTENANCE, RECONDITIONING, AND REPAIR SERVICES - OFFICE, PHOTOGRAPHIC, AND RADIO/TELEVISION EQUIPMENT",Office supplies and furniture
98500,"RENTAL OR LEASE SERVICES OF EQUIPMENT - OFFICE, PHOTOGRAPHIC, PRINTING, RADIO/TELEVISION/TELEPHONE EQUIPMENT",Office supplies and furniture
25500,DECALS AND STAMPS,Office supplies and furniture
5200,ART OBJECTS,"Planning, architecture, and engineering services"
30500,"ENGINEERING EQUIPMENT, SURVEYING EQUIPMENT, DRAWING INSTRUMENTS, AND SUPPLIES","Planning, architecture, and engineering services"
90600,"ARCHITECTURAL SERVICES, PROFESSIONAL","Planning, architecture, and engineering services"
90700,"ARCHITECTURAL AND ENGINEERING SERVICES, NON-PROFESSIONAL","Planning, architecture, and engineering services"
92500,"ENGINEERING SERVICES, PROFESSIONAL","Planning, architecture, and engineering services"
92600,ENVIRONMENTAL AND ECOLOGICAL SERVICES,"Planning, architecture, and engineering services"
96800,PUBLIC WORKS AND RELATED SERVICES,"Planning, architecture, and engineering services"
97900,"RENTAL OR LEASE SERVICES OF EQUIPMENT - ENGINEERING, HOSPITAL, LABORATORY, PRECISION INSTRUMENTS, REFRIGERATION, SCALES","Planning, architecture, and engineering services"
99200,TESTING AND CALIBRATION SERVICES,"Planning, architecture, and engineering services"
8000,"BADGES, EMBLEMS, NAME TAGS AND PLATES, JEWELRY, ETC.",Public safety supplies and services
26900,DRUGS AND PHARMACEUTICALS,Public safety supplies and services
34000,FIRE PROTECTION EQUIPMENT AND SUPPLIES,Public safety supplies and services
34500,FIRST AID AND SAFETY EQUIPMENT AND SUPPLIES (EXCEPT NUCLEAR AND WELDING),Public safety supplies and services
43000,"GASES, CONTAINERS, EQUIPMENT: LABORATORY, MEDICAL, AND WELDING",Public safety supplies and services
43500,"GERMICIDES, CLEANERS, AND RELATED SANITATION PRODUCTS FOR HEALTH CARE PERSONNEL",Public safety supplies and services
46500,"HOSPITAL AND SURGICAL EQUIPMENT, INSTRUMENTS, AND SUPPLIES",Public safety supplies and services
47000,"HOSPITAL HANDICAP AND RELATED SPECIALIZED EQUIPMENT AND SUPPLIES: MOBILITY, SPEECH IMPAIRED, AND RESTRAINT ITEMS",Public safety supplies and services
47500,"HOSPITAL, SURGICAL, AND RELATED MEDICAL ACCESSORIES AND SUNDRY ITEMS",Public safety supplies and services
68000,POLICE EQUIPMENT AND SUPPLIES,Public safety supplies and services
87500,VETERINARY EQUIPMENT AND SUPPLIES (SEE CLASS 325 FOR VITAMINS AND SUPPLEMENTS FOR ANIMALS),Public safety supplies and services
97500,"RENTAL OR LEASE SERVICES OF EQUIPMENT - AGRICULTURAL, AIRCRAFT, AUTOMOTIVE, HEAVY EQUIPMENT, AND MARINE EQUIPMENT",Public safety supplies and services
99000,"SECURITY, FIRE, SAFETY, AND EMERGENCY SERVICES",Public safety supplies and services
20400,COMPUTER HARDWARE AND PERIPHERALS FOR MICROCOMPUTERS,Technology supplies and services
20600,COMPUTER HARDWARE AND PERIPHERALS FOR MINI AND MAIN FRAME COMPUTERS,Technology supplies and services
20700,COMPUTER ACCESSORIES AND SUPPLIES,Technology supplies and services
20800,COMPUTER SOFTWARE FOR MICROCOMPUTERS (PREPROGRAMMED),Technology supplies and services
20900,COMPUTER SOFTWARE FOR MINI AND MAINFRAME COMPUTERS (PREPROGRAMMED),Technology supplies and services
25000,DATA PROCESSING CARDS AND PAPER,Technology supplies and services
28700,"ELECTRONIC COMPONENTS, REPLACEMENT PARTS, AND ACCESSORIES: AND MISCELLANEOUS ELECTRONIC EQUIPMENT (NOT FOR TESTING OR ANALYZING -SEE 730)",Technology supplies and services
72500,"RADIO COMMUNICATION, TELEPHONE, AND TELECOMMUNICATION EQUIPMENT, ACCESSORIES, AND SUPPLIES",Technology supplies and services
73000,"RADIO COMMUNICATION AND TELECOMMUNICATION TESTING, MEASURING, AND ANALYZING EQUIPMENT, ACCESSORIES AND SUPPLIES",Technology supplies and services
80300,"SOUND SYSTEMS, COMPONENTS, AND ACCESSORIES: GROUP INTERCOM, MUSIC, PUBLIC ADDRESS, ETC.",Technology supplies and services
84000,TELEVISION EQUIPMENT AND ACCESSORIES,Technology supplies and services
88300,VOICE RESPONSE SYSTEMS,Technology supplies and services
92000,"DATA PROCESSING, COMPUTER, AND SOFTWARE SERVICES",Technology supplies and services
98400,"RENTAL OR LEASE SERVICES OF COMPUTERS, DATA PROCESSING, AND WORD PROCESSING EQUIPMENT",Technology supplies and services
29000,ENERGY COLLECTING EQUIPMENT AND ACCESSORIES: SOLAR AND WIND,Utilities
69000,"POWER GENERATION EQUIPMENT, ACCESSORIES, AND SUPPLIES",Utilities
69100,"POWER TRANSMISSION EQUIPMENT - ELECTRICAL, MECHANICAL, AIR AND HYDRAULIC",Utilities
83000,"TANKS (METAL, WOOD, AND SYNTHETIC MATERIALS): MOBILE, PORTABLE, STATIONARY, AND UNDERGROUND TYPES",Utilities
89000,"WATER SUPPLY, GROUNDWATER, SEWAGE TREATMENT, AND RELATED EQUIPMENT (NOT FOR AIR CONDITIONING, STEAM BOILER, OR LABORATORY REAGENT WATER)",Utilities
94100,"EQUIPMENT MAINTENANCE, RECONDITIONING, REPAIR, AND RELATED SERVICES - POWER GENERATION",Utilities
