TYPE OF CONTRACT,CONTRACT,PA,COMPANY,SERVICE,EXPIRATION,CONTROLLER,ADDRESS1,ADDRESS2,E-MAIL ADDRESS,CONTACT,PHONE #,FAX #,NOTES
County,7075,WC,LESLIE'S SWIMMING POOL SUPPLIES,SWIMMING POOL CHEMICALS,2015-05-31,50230,3925 EAST BROADWAY ROAD #100,"PHOENIX, AZ 85040",government@lesl.com,Aaron Sears,412-661-7665,412-661-2128,
County,7075,WC,SAL CHEMICAL,SWIMMING POOL CHEMICALS,2015-05-31,50230,3036 BIRCH DRIVE,"WEIRTON, WV 26062",bids@salchem.com,Lisa Jack,,,
County,7075,WC,B & R POOLS AND SWIM SHOP,SWIMMING POOL CHEMICALS,2015-05-31,50230,1105 WASHINGTON BOULEVARD,"PITTSBURGH, PA 15206",MikeB@bandrpools.com,Mike Bonavita,304-748-8200,304-797-8751,
County,7077,PR,GRAYBAR ELECTRIC CO.,ELECTRICAL SUPPLIES (US Communities Contract),2016-03-31,50154,900 RIDGE AVE.,"PITTSBURGH, PA 15212",,,412-323-5200,412-323-2881,
County,7078,EP,RIVERSIDE SALES GROUP,SCANNING SERVICES,2015-06-30,50246,1323 FORBES AVENUE,"PITTSBURGH, PA 15219",alan@maa-associatesllc.com,Alan Lincoln,800.920.7584,,
County,7080,EP,DERO BIKE RACK COMPANY,THREE RIVERS BIKE RACKS,2015-06-07,50204,"504 MALCOLM AVE. SE, STE 100","MINNEAPOLIS, MN 55414",andy@dero.com,Andrew Lageson,612-359-0689,612-331-2731,
County,7081,EP,FORMS + SURFACES,STAINLESS STEEL RECYCLING RECEPTACLES AND L INERS,2015-06-30,50265,30 Pine Street,"PITTSBURGH, PA 15223",dan.mulligan@formssurfaces.,Dan Mulligan,412-216-8144,,
County,7086,PR,BULL INTERNATIONAL,"REPAIRS: TRACTORS, ETC.",2015-06-07,50276,291 CAMERON ROAD,"WASHINGTON, PA 15301",jeffbull@bullinternational.com,Jeff Bull,724-222-0450,724-222-7290,
County,7086,PR,"E.H. GRIFFITH, INC.","REPAIRS: TRACTORS, ETC.",2015-06-07,50276,902 GILL HALL ROAD,"JEFFERSON HILLS, PA 15025",JeffersonHills@verizon.net,Patrick Prosser,412-655-8640,412-655-8640,
County,7090,WC,"FORT PITT EXTERMINATORS, INC.",EXTERMINATION SERVICES,2015-07-31,50465,100 9TH STREET,"MONACA, PA 15061-2001",ameri_can88@yahoo.com,Dennis Link,412-441-6300,724-774-0733,
County,7093,EP,BETH'S BARRICADES,RENTAL OF TRAFFIC CONTROL DEVICES,2015-07-14,50430,1623 MIDDLE ROAD,"GIBSONIA, PA 15044",beth@bethsbarricades.com,Elizabeth Nury,412-767-8830,412-443-8880,
County,7095,EP,WARD BUILDING & HIGHWAY,GUIDE RAIL INSTALLATION AND EMERGENCY REPAIRS,2015-07-31,50270,706-A LONG RUN ROAD,"MCKEESPORT, PA 15132",mw1257fpf@aol.com,John Ward,412-751-2323,412-751-1888,
County,7096,PR,CLEAN CAR EXPRESS - EASTERN REGION- EXTERIOR ONLY,WASHING: CITY VEHICLES,2015-06-30,50544,970 WASHINGTON BOULEVARD,"PITTSBURGH, PA 15206",rich@cleancarexpresspittsburgh.com,Rich Donator,412-361-2220,412-361-2221,
County,7100,PR,PLAVCHAK CONSTRUCTION,REMOTE ACCESS FIELD LIGHTS,2017-12-31,50324,,,,,,,
County,7104,PR,NORTH EASTERN UNIFORMS,UNIFORMS (BBI),2015-08-31,50326,,,,,,,
County,7105,EP,INTERNATIONAL PAPER CO / XPEDX,JANITORIAL PAPER PRODUCTS,2014-12-31,50539,1025B MT. NEBO ROAD,"PITTSBURGH, PA 15237",sean.martin@brickmangroup.com,Sean Martin,412-364-4606,,
County,7107,PR,NORTH EASTERN UNIFORMS,UNIFORMS (ES),2015-08-31,50325,368 COMMERCIAL ST.,"BRIDGEVILLE, PA 15017",gcgallaway,Greg Gallaway,412-257-4700,412-257-4400,
County,7109,EP,"PIPELINES, INC",CORRUGATED POLYETHYLENE PIPE,2015-08-31,50343,,,,,,,
County,7109,EP,CHEMUNG SUPPLY CORP.,CORRUGATED POLYETHYLENE PIPE,2015-08-31,50343,PO BOX 527,"ELMIRA, NY 14902",cperine@yahoo.com,Carl H. Perine,607-732-5379,607-732-5379,
County,7115,EP,VULCAN SIGNS,SIGN BLANKS,2015-09-30,50402,PO BOX 1850,"FOLEY, AL 36536-1850",tkoniar@vulcaninc.com,J. Todd Koniar,800-846-2745,251-943-7590,
County,7115,EP,U.S. STANDARD SIGN,SIGN BLANKS,2015-09-30,50402,11400 W. STANDARD STREET,"FRANKLIN PARK, IL 60131",bids@usstandardsign.com,Sean Fallon,847-455-7446,847-445-3330,
County,7117,EP,"J.V. CHUJKO, INC.",RENTAL OF EQUIPMENT FOR SPECIAL EVENTS,2015-09-30,50373,329 BROADWAY AVE,"MCKEES ROCKS, PA 15136",Charlie@chujko.com,Charles Bridge,412-331-3308,412-331-7990,
County,7118,PR,ASTROTURF,"SPORTS SURFACES, INSTALL &RELA5TED MAT'LS.",2015-05-31,50254,,,,,,,
County,7121,PR,NO RENEWAL NEEDED FOR 2014,GREAT RACE TEES,2014-07-30,50323,,,,,,,
County,7122,EP,CALCIUM CHLORIDE SALES,LIQUID CALCUIM CHLORIDE,2015-09-01,50363,713 WEST MAIN STREET,"GROVE CITY, PA 16127",calc2@zoominternet.net,James McLean,724-458-7591,724-458-4250,
County,7124,EP,"LAWMEN'S & SHOOTERS, INC.",AMMUNITION,2015-09-30,50464,7750 9TH STREET SW,"VERO BEACH, FL 32968",bids@lawmens.net,Gail Walker-Keen,772-569-8700,772-569-2955,
County,7124,EP,ATLANTIC TACTICAL,AMMUNITION,2015-09-30,50513,763 CORPORATE CIRCLE,"NEW CUMBERLAND, PA 17070",jskethway@atlantictactical.com,Jill Skethway,717-774-3339,717-774-4463,
County,7124,EP,WITMER PUBLIC SAFETY GROUP,AMMUNITION,2015-09-30,50512,PO BOX 249,"CHALK HILL, PA 15421",bwatts@officerstore.com,William Watts,724-437-1800,724-437-0277,
County,7125,EP,SERVICEMASTER PROF. CLEANING by the KELLY'S INC,CLEANING OF POLICE FACILITIES II,2015-12-31,50330,PO BOX 313,"ALLISON PARK, PA 15101",servicemasterkellys@yahoo.com,Colleen M. Kelly,412-444-0800,412-444-0891,
County,7131,EP,SERVICEMASTER PROF. CLEANING by the KELLY'S INC,CLEANING OF MUNICIPAL COURTS BUILDING,2015-12-31,50329,PO BOX 313,"ALLISON PARK, PA 15101",servicemasterkellys@yahoo.com,Colleen M. Kelly,412-444-0800,412-444-0891,
County,7135,EP,MSA,GENUINE PARTS - MSA CONTRACT DISCOUNTS FROM CATALOG (SCBA),2015-09-30,50361,1000 CRANBERRY WOODS DRIVE,"CRANBERRY TWP., PA. 16066",richard.rocco@msanet.com,Richard Rocco,800-672-2222,724-741-1560,
County,7139,EP,QUALITY SERVICES,CLEANING OF CITY/COUNTY BUILDING,2014-12-31,50493,559 RODI ROAD,"PITTSBURGH, PA 15235",qsi@qualitysvcs.com,Charles Cole,412-371-9110,412-371-0261,
County,7144,PR,NETWORK DEPOSITION SERVICES,STENOTYPE REPORTER SERVICES,2016-12-31,50559,"700 GRANT STREET, STE 1101","PITTSBURGH, PA 15219",turbash@ndsreporting.com,Terri Urbash,412-281-7908,412-291-1766,
County,7145,EP,"E.H. GRIFFITH, INC.",LAWN AND GARDEN TOOLS/SUPPLIES,2015-11-30,50494,2250 PALMER STREET,"PITTSBURGH, PA 15218",davidg@ehgriffith.com,David Guerin,412-271-3365,412-271-2614,
County,7145,EP,GRAINGER,LAWN AND GARDEN TOOLS/SUPPLIES,2015-11-30,50529,100 GRAINGER PARKWAY,"LAKE FOREST, IL 60045",ericchichester@grainger.com,Eric Chichester,412-974-3967,412-380-0767,
County,7145,EP,"BULL INTERNATIONAL (is now Smardt, PENDING)",LAWN AND GARDEN TOOLS/SUPPLIES,2014-11-30,50495,291 CAMERON ROAD,"WASHINGTON, PA 15301",jeffbull@bullinternational.com,Jeff Bull,724-222-0450,724-222-7290,
County,7145,EP,JEFFERSON HILLS LAWN EQUIPMENT,LAWN AND GARDEN TOOLS/SUPPLIES,2015-11-30,50528,902 GILL HALL ROAD,"JEFFERSON HILLS, PA 15025",JeffersonHills@verizon.net,Patrick Prosser,412-655-2279,412-655-8640,
County,7147,PR,AUTO BATHHOUSE,ADDITIONAL WASHING OF CITY VEHICLES,2015-06-30,50840,,,,,,,
County,7150,EP,"VIGLIOTTI LANDSCAPING & CONSTRUCTION, INC.","EXTERIOR RENOVATION/GROUNDSKEEPING SERVICES, ETC. CD (landscaping)",2016-12-31,50496,10250 BUCHANON ROAD,"PITTSBURGH, PA 15235",vigliottilandscaping@yahoo.com,Joseph Vigliotti,412-427-5563,412-427-1235,
County,7151,EP,"JCAB, INC.",HANDICAP RAMP AND SIDEWALK CONSTRUCTION (CD),2016-12-31,50530,1305 ROYAL PARK BLVD,"SOUTH PARK, PA 15129",jcabinc@comcast.net,Joseph Bellisario,412-653-2258,412-653-2258,
County,7152,PR,SSM INDUSTRIES,PLUMBING SERVICES V (INCLUDING CD AREAS),11/31/2015,50896,3401 GRAND AVENUE,"PITTSBURGH, PA 15225",,Leo Monaghan,412-777-5100,412-771-1117,
County,7159,WC,CONSERV FLAG COMPANY,FLAG SUPPLIES II,2015-12-31,50706,1003 ILLINOIS STREET,"SIDNEY, NE 69162",kenny@conservflag.com,Kenny Gudahl,308-254-4720,308-254-2419,
County,7161,EP,PARKING LOT PAINTING COMPANY,PAVEMENT MARKING IN NON-CD AREAS,2015-12-31,50562,2991 INDUSTRIAL BOULAVARD,"BETHEL PARK, PA 15102",mrice@parkinglotpaintingcompany.com,Michael Rice,412-854-0250,412-831-7484,
County,7162,EP,CPR SAVERS & FIRST AID SUPPLY,STRYKER POWER PRO STRETCHER & STRYKER POWER LOAD SYSTEM,2016-12-31,50523,7904 E. CHAPPARRAL ROAD,"SCOTTSDALE, AZ 85255",carole@cpr-savers.com,Carole Diskin,800-480-1277,480-422-8521,
County,7164,WC,STALEY COMMUNICATIONS,"REPAIRS: RADIOS AND RADIO EQUIOPMENT, ETC.",2015-12-31,50545,3229 SPRUCE WAY,"PITTSBURGH, PA 15201",sales@staleycom.com,Mark Staley,304-233-8780,304-233-7518,
County,7169,EP,"MOBILE HEALTH SYSTEMS, INC.",PHYSICALS FOR HAZMAT TEAM,2015-11-23,50683,,,,,,,
County,7170,EP,NORTH STAR COMMUNICATIONS,"ADDITIONS, MOVES, UPGRADES: TELECOM EQUIP.",2016-12-31,50699,802 MILLER'S RUN ROAD #3,"CECIL, PA 15321",joann@nstarcomm.com,Jo Ann Hall,412-221-5155,412-221-5680,
County,7175,EP,RUSSELL STANDARD CORPORATION,PRE-MIXED BITUMINOUS COLD PATCHING MATERIALS,2015-12-31,50542,"285 KAPPA DRIVE, SUITE 300","PITTSBURGH, PA 15238",tracy.riggins@russellstandard.com,Tracy Riggins,412-449-0700x2222,412-499-0704,
County,7178,EP,AD STARR,ATHLETIC SUPPLIES AND EQUIPMENT,2015-12-31,50654,61 S. 4th St,"PITTSBURGH, PA 15219",chuck@adstarr.com,Chuck Fusina,800-487-2448,800-354-5289,
County,7178,EP,"PYRAMID PAPER, DBA PYRAMID SCHOOL PRODUCTS",ATHLETIC SUPPLIES AND EQUIPMENT,2015-12-31,50654,6510 N. 54TH STREET,"TAMPA, FL 33610",bids@pyramidsp.com,Daniel Sanders,800-792-2644,813-621-7688,
County,7178,EP,RIDDELL,ATHLETIC SUPPLIES AND EQUIPMENT,2015-12-31,50654,669 SUGAR LANE,"ELYRIA, OH 44035",jbrady@riddellsales.com,James Brady,800-275-5338,440-366-0041,
County,7178,EP,BSN SPORTS / PASSON SPORTS,ATHLETIC SUPPLIES AND EQUIPMENT,2015-12-31,50654,PO BOX 49,"JENKINTOWN, PA 19046",passonsbid@sportsupplygroup.com,William Rusnak,800-445-9446,800-523-5112,
County,7181,WC,LESLIE'S SWIMMING POOL SUPPLIES,"SWIMMING POOL SUPPLIES, ETC.",2014-12-31,50641,3925 EAST BROADWAY ROAD #100,"PHOENIX, AZ 85040",government@lesl.com,Aaron Sears,602-366-3999,602-366-3939,
County,7181,WC,"RECREONICS, INC.","SWIMMING POOL SUPPLIES, ETC.",2014-12-31,50641,4200 SCHMITT AVENUE,"LOUISVILLE, KY 40213",aquatics@recreonics.com,Michael Garland,800-428-3284,800-428-0133,
County,7181,WC,B & R POOLS AND SWIM SHOP,"SWIMMING POOL SUPPLIES, ETC.",2014-12-31,50641,1105 WASHINGTON BOULEVARD,"PITTSBURGH, PA 15206",MikeB@bandrpools.com,Mike Bonavita,412-661-7665,412-661-2128,
County,7181,WC,"BEL-AQUA POOL SUPPLY, INC.","SWIMMING POOL SUPPLIES, ETC.",2014-12-31,50641,20 COMMERCE DRIVE,"NEW ROCHELLE, NY 10801",sales@bel-aqua.com,Susan Wisan,914-235-2200,,
County,7188,EP,SERVICEMASTER PROF. CLEANING by the KELLY'S INC,CLEANING OF VARIOUS CITY FACILITIES II,2016-02-28,50492,PO BOX 313,"ALLISON PARK, PA 15101",servicemasterkellys@yahoo.com,Colleen M. Kelly,412-444-0800,412-444-0891,
County,7189,PR,"LACAL EQUIPMENT, INC.",ST. SWEEPER BROOMS & PARTS,2015-12-31,50742,PO BOX 757,"JACKSON CENTER, OH 45334",jason@lacal.com,Jason Wright,800-543-6161-111,937-596-5433,
County,7189,PR,OLD DOMINION BRUSH COMPANY,ST. SWEEPER BROOMS & PARTS,2015-12-31,50743,5118 GLEN ALDEN DRIVE,"RICHMOND, VA 23231",odb@odbco.com,Patricia Vernon,800-446-9823,804-226-6914,
County,7191,EP,PARKING LOT PAINTING COMPANY,PAVEMENT MARKING CD AREAS INCLUDED,2015-12-31,50563,2991 INDUSTRIAL BOULAVARD,"BETHEL PARK, PA 15102",mrice@parkinglotpaintingcompany.com,Michael Rice,412-854-0250,412-831-7484,
County,7192,EP,"JOE PALMIERI CONSTRUCTION, INC.","RENO/REPLACE CONCRETE SIDEWALKS AND VARIOUS OTHER CONCRETE WORK, ETC. CD AREAS INCLUDED",2015-12-31,50677,2015 BABCOCK BLVD.,"PITTSBURGH, PA 15209",jpconstruction1@comcast.net,Joe Palmieri,412-821-1776,412-821-0802,
County,7194,EP,"SOF SURFACES, INC.",INSTALLATION of Sof SURFACES (CD Areas Included),2016-12-31,50564,"5505 N. CUMBERLANDE, SUITE","CHICAGO, IL 60656",ossb@sofsurfaces.com,Brad Goss,519-882-8799,519-882-2697,
County,7195,EP,"SOF SURFACES, INC.",INSTALLATION of Sof SURFACES NONCD,2016-12-31,50565,"5506 N. CUMBERLANDE, SUITE","CHICAGO, IL 60657",ossb@sofsurfaces.com,Brad Goss,519-882-8799,519-882-2697,
County,7196,EP,NEVILLE TERMINAL SERVICES,AGGREGATE AND STONE II,2015-12-31,50605,4700 NEVILLE ROAD,"PITTSBURGH, PA 15225",dan.mcfarland@lindypaving.com,Dan McFarland,519-882-8799,724-353-2888,
County,7197,WC,PITTSBURGH LEGAL JOURNAL,LEGAL ADVERTISING,2015-12-31,50576,436 7TH AVENUE,"PITTSBURGH, PA 15219",jpulice@acba.org,Jennifer Pulice,412-261-6255,412-261-6439,
County,7198,PR,ALLEGHENY CITY ELECTRIC,ELECTRICAL MAINTENANCE & REPAIR,2015-03-31,50720,1139 WOODLAND AVENUE,"PITTSBURGH, PA 15212",mjs@alleghenycityelectric.com,Michael Septak,412-734-0818,412-766-8767,
County,7201,PR,"RAM INDUSTRIAL PRODUCTS, INC.",POOL PUMPS II,2016-12-31,50710,1095 MONTOUR WEST INDUSTRIAL PARK,"CORAPOLIS, PA 15108",agiralico@rammotors.com,Al Giralico,724-695-5333,724-695-5336,
County,7205,WC,IDEAL PROPERTY MAINTENANCE,WINDOW CLEANING SERVICES,2017-02-28,50686,PO BOX 96,"EDINBURG, PA 16116",wmrodgersjr@yahoo.com,William Rodgers,724-333-3133,330-953-0748,
County,7206,EP,CHEMUNG SUPPLY CORP.,TRAFFIC SIGN POSTS,2016-01-31,50581,PO BOX 527,"ELMIRA, NY 14902",cperine@yahoo.com,Carl H. Perine,607-732-5379,607-732-5379,
County,7206,EP,U.S. STANDARD SIGN,TRAFFIC SIGN POSTS,2016-01-31,50620,11400 W. ADDISON STREET,"FRANKLIN PARK, IL 60131",bids@usstandardsign.com,Sean Fallon,847-455-7446,847-455-3330,
County,7207,PR,ROBINSON PIPE CLEANING CO.,RENTAL OF EQUIPMENT FOR STORM SEWER SYSTEMS,2016-02-28,50600,2656 IDLEWILD ROAD,"PITTSBURGH, PA 15205",long@robinsonpipe.com,Mike Long,,412-921-3600,
County,7208,WC,HOUGH AND HOUGH FARMS,ATHLETIC FIELD SOIL II,2016-03-31,50721,118 TIETZE ROAD,"SMITHTON, PA 15479",keithih@msn.com,James Hough,724-872-9242,724-872-1017,
County,7209,EP,THE SHERWIN WILLIAMS COMPANY,PAINT AND SUPPLIES,2015-02-28,,,,,,,,
County,7209,EP,GATEWAY PAINT & CHEMICAL COMPANY,PAINT AND SUPPLIES,2015-02-28,50890,2929 SMALLMAN STREET,"PITTSBURGH, PA 15201",hbgatewaypaint@comcastbiz.net,Harold Blumenfeld,412-261-6642,412-261-0411,
County,7209,EP,WESTMORELAND SUPPLY CO.,PAINT AND SUPPLIES,2015-02-28,50889,3131 PENN AVENUE,"PITTSBURGH, PA 15201",waltcohen1@yahoo.com,Walt Cohen,412-441-1666,412-441-0141,
County,7211,PR,"SABRE EQUIPMENT, INC.","REPAIRS TO SALT SPREADERS, ETC.",2016-03-31,50728,,,,,,,
County,7211,PR,A & H EQUIPMENT,"REPAIRS TO SALT SPREADERS, ETC.",2016-03-31,50728,,,,,,,
County,7213,PR,SMARDT EQUIPMENT,REPAIRS TO HEAVY EQUIPMENT,2015-03-31,50913,,,ken@smardtequipment.com,Ken Hardt,724-865-2050,,
County,7214,EP,THE LANE CONSTRUCTION CORP.,BITUMINOUS PAVING MATERIALS,2016-03-31,50676,PO BOX 802,"MARS, PA 16046",harry.jack@russellstandard.com,Harry Jack,724-624-1505,724-625-1760,
County,7214,EP,TRESCO,BITUMINOUS PAVING MATERIALS,2016-03-31,50676,PO BOX 757,"JACKSON CENTER, OH 45334",jason@lacal.com,Jason Wright,800-543-6161x111,937-596-5433,
County,7214,EP,"LINDY PAVING, INC.",BITUMINOUS PAVING MATERIALS,2016-03-31,50676,586 NORTHGATE CIRCLE,"NEW CASTLE, PA 16105",tony.medure@lindypaving.com,Tony Medure,412-205-1422,724-652-7714,
County,7214,EP,RUSSELL STANDARD CORPORATION,BITUMINOUS PAVING MATERIALS,2016-03-31,50676,"285 KAPPA DRIVE, SUITE 300","PITTSBURGH, PA 15238",tracy.riggins@russellstandard.com,Tracy Riggins,412-449-0700x2222,412-499-0704,
County,7214,EP,"HEI-WAY, LLC",BITUMINOUS PAVING MATERIALS,2016-03-31,50676,211 HOUSE AVENUE,"CAMP HILL, PA 17011",,,717-612-6124,717-612-3105,
County,7216,PR,GRACIANO CONTRACTING,"MASONRY CLEANING & REPAIR// GRAFFITI REMOVAL, ETC.",2017-03-31,50778,,,,,,,
County,7217,EP,MATCON DIAMOND,MAINT.: ASPHALT PAVEMENTS AT VARIOUS LOCATIONS (CD AREAS INCLUDED),2015-03-31,50689,3447 E. CARSON STREET,"PITTSBURGH, PA 15203",estimating@matcondiamond.com,David Matesic,412-481-0280,412-481-3442,
County,7219,WC,PLANTSCAPE,LANDSCAPE AND IRRIGATION MAINTENANCE,2015-12-31,50655,3101 LIBERTY AVENUE,"PITTSBURGH, PA 15201",ccroskey@plantscape.com,Chuck Croskey,412-281-6352,412-281-4775,
County,7223,PR,STITCH WIZARDS,APPAREL FOR PARKS (LG UNIS),2015-03-31,50758,,,,,,,
County,7223,PR,BSN SPORTS,APPAREL FOR PARKS (LG UNIS),2015-03-31,50758,,,,,,,
County,7223,PR,PENN FASHIONS,APPAREL FOR PARKS (LG UNIS),2015-03-31,50758,,,,,,,
County,7228,EP,"WINE CONCRETE PRODUCTS, INC.",PRE-CAST CONCRETE PRODUCTS,2016-04-14,50716,1000 BIG SEWICKLEY CREEK ROAD,"SEWICKLEY, PA 15143",wcpinc1@comcast.net,Floyd Wine,724-266-9500,724-266-0122,
County,7228,EP,DURA SALES,PRE-CAST CONCRETE PRODUCTS,2016-04-14,50717,2481 BULL CREEK ROAD,"DURA-SALES, PA 15084",Rodg@comcast.net,Rodger Costello,724-224-7700,724-226-8888,
County,7231,WC,"WOOD WATE RECYCLING, LLC",LEAF COMPOSTING SERVICES,2017-03-31,50705,111 KELSO ROAD,"McDONALD, PA 15057",woodwate@verizon.net,Patrick Borelli,724-695-1000,,
County,7234,EP,HOUGH AND HOUGH FARMS,AGGREGATE AND STONE III,2015-12-31,50690,118 TIETZE ROAD,"SMITHTON, PA 15479",keithih@msn.com,James Hough,724-872-9442,724-872-1017,
County,7238,PR,CASTRIOTA METALS & RECYCLING,SALE OF SURPLUS METALS (SCRAP),2015-03-31,50709,1200 SAW MILL RUN BLVD.,"PITTSBURGH, PA 15220",castriotabus@verizon.net,Randy Castriota,412-431-1832,412-431-5838,
County,7239,PR,POWELL MECHANICAL,F/I/REPAIR:HVAC -(NPWR),2015-03-31,50841,4845 HARRISON STREET,"PITTSBURGH, PA 15201",colin@powellmechanical.com,Colin Powell,412-622-7063,412-622-7063,
County,7240,PR,SSM INDUSTRIES,PLUMBING WORK II,11/31/2015,50894,3401 GRAND AVENUE,"PITTSBURGH, PA 15225",,Leo Monaghan,412-777-5100,412-771-1117,
County,7241,EP,GEARHART BROTHERS,AGGREGATE AND STONE IV,2015-12-31,50780,245 BUTLER AVE SUITE 104A,"LANCASTER, PA 17601",chip@gearhartbrothers.com,Charles Gearhart,717-735-3633,717-735-7115,
County,7241,EP,ALLEGHENY MINERAL CORP,AGGREGATE AND STONE IV,2015-12-31,50780,PO BOX 1022,"KITTANNING, PA 16201",steve.porter@syndercos.com,Steve Porter,724-924-2198,724-924-2165,
County,7249,EP,"JERRY'S SPORTS, INC.",AMMUNITION,2015-02-28,50832,100 CAPITAL ROAD,"JENKINS TOWNSHIP, PA 18640",andrewvaughan@jerryssports.com,Andrew Vaughan,570-883-6800,800-388-8452,
County,7251,EP,WEAVERTOWN ENVIRONMENTAL GROUP,HAZARDOUS MATERIALS CLEANUP / DRUM HANDLING,2016-06-30,50847,2 DORRINGTON ROAD,"CARNEGIE, PA 15106",srice@weavertown.com,Scott Rice,724-746-4850,724-429-0429,
County,7252,WC,"CXT, INC.",PRE-ENGINEERED CONCRETE TOILETS BLDGS & VAULTS,2017-04-23,50724,415 HOLIDAY DRIVE,"PITTSBURGH, PA 15220",gzentarsky@lbfoster.com,Greg Zentarsky,412-398-4286,,
County,7253,PR,JAMES L. SMITH,VARIOUS INSURANCE COVERAGES,2015-04-30,50745,304 COCHRAN ROAD,"PITTSBURGH, PA 15228",daniel.smith@jameslsmithinsurance.com,Daniel P. Smith,412-531-3111,412-521-8819,
County,7254,PR,MR.MAGIC CARWASH// WHITEY'SMOBILE WASH,ADDITIONAL WASHING :CITY VEHICLES II,2015-06-30,50844,,,,,,,
County,7265,EP,FEDEROUCH LANDSCAPE SUPPLY,GRASS SEED AND LANDSCAPING SUPPLIES II,2015-05-31,50881,PO BOX 522,"LAWRENCE, PA 15055",FEDEROUCHLANDSCAPE@gmail.com,Angela Butler,724-941-6965,724-941-6965,
County,7265,EP,E.H. GRIFFITH,GRASS SEED AND LANDSCAPING SUPPLIES II,2015-05-31,50881,2250 PALMER STREET,"PITTSBURGH, PA 15218",sales@ehgriffith.com,David Guerin,800-245-1224,412-271-2614,
County,7265,EP,"JOHN DEERE LANDSCAPES, INC.",GRASS SEED AND LANDSCAPING SUPPLIES II,2015-05-31,50881,1385 EAST 36TH STREET,"CLEVELAND, OH 44114",bids@johndeerelandscapes.com,Keith McGinty,248-588-2100,248-581-1433,
County,7265,EP,KEYSTONE TURF PRODUCTS,GRASS SEED AND LANDSCAPING SUPPLIES II,2015-05-31,50881,1014 COPPORATE LANE,"EXPORT, PA 15632",kim@keystoneturf.com,Mark Kenyhercz,724-733-0829,724-733-0926,
County,7265,EP,"GENESIS TURF PRODUCTS, INC.",GRASS SEED AND LANDSCAPING SUPPLIES II,2015-05-31,50881,PO BOX 7663,"YORK, PA 17404",markmerrick@genesisturfgrassinc.com,Mark Merrick,717-759-8151,866-208-8302,
County,7265,EP,HELENA CHEMICAL COMPANY,GRASS SEED AND LANDSCAPING SUPPLIES II,2015-05-31,50881,566 EAST PORTERSVILLE ROAD,"PORTERSVILLE, PA 16051",drdcoyote@zoominternet.net,Dan Dillman,724-368-3533,724-368-3548,
County,7265,EP,HODGES RASH COMPANY,GRASS SEED AND LANDSCAPING SUPPLIES II,2015-05-31,50881,5029 STAGS LEAP LANE,"CORAOPOLIS, PA 15108",jasonjbaranowski@gmail.com,Jason Baranowski,412-439-3299,,
County,7270,EP,"FRANK BRYAN, INC.",READY MIX CONCRETE,2015-05-31,50803,1263 CHARTIERS AVENUE,"MCKEES ROCKS, PA. 15136",vdeangelis@verizon.net,Verna Deanglis,412-331-1630,412-331-1374,
County,7286,WC,ABCO FIRE PROTECTION,FIRE EXTINGUISHERS,2015-07-31,50805,1391 FREY ROAD,"PITTSBURGH, PA 15235",sodonnell@abcofire.net,Matt Aloisio,412-373-7730,,
County,7288,PR,LIBERTY TIRE SERVICE OF OHIO,REMOVAL OF SCRAP TIRES,2015-06-30,51016,"14864 LINCOLN STREET, SE","MINERVA, OHIO 44657",mshaffer@libertytire.com,Michael Shaffer,888-868-0097,330-868-0845,
County,7305,EP,HELENA CHEMICAL COMPANY,GRASS SEED & LANDSCAPING SUPPLIES,2015-08-07,50914,566 EAST PORTERSVILLE ROAD,"PORTERSVILLE, PA 16051",drdcoyote@zoominternet.net,Dan Dillman,724-368-3533,NA,
County,7307,PR,GIANT EAGLE,GIFT CERTIFICATES AND FOOD VOUCHERS,2015-09-30,50875,"101 KAPPA DRIVE, RIDC PARK","PITTSBURGH, PA 15238",tracey.hegerle@gianteagle.com,Tracey Hegerle,412-967-4977,,
County,7309,EP,"FRANK BRYAN, INC.",JERSEY BARRIERS AND TRANSITION SECTIONS,2015-06-30,50937,1263 CHARTIERS AVENUE,"MCKEES ROCKS, PA. 15136",vdeangelis@verizon.net,Verna Deanglis,412-331-1630,412-331-1374,
County,7320,EP,SERVICEMASTER PROF. CLEANING by the KELLY'S INC,CLEANING OF POLICE HEADQUARTERS BUILDING,2015-09-30,51050,PO BOX 313,"ALLISON PARK, PA 15101",servicemasterkellys@yahoo.com,Colleen M. Kelly,412-444-0800,412-444-0891,
County,7325,PR,UNITED GRAPHICS,PROMOTIONAL ITEMS,2017-10-31,51143,PO BOX 489,"INGOMAR, PA 15128",unijb@comcast.net,Jennifer Brindle Foust,724-935-4372,724-935-4373,
County,7325,PR,AUTHENTIC PROMOTIONS.COM,PROMOTIONAL ITEMS,2017-10-31,51143,3024 PARAGON WAY,"CARMICHAEL, CA 95608","peter@authenticpromotions.com,",Peter Carmazzi,800-497-7765,800-497-7706,
County,7331,EP,ST. MORITZ,SECURITY GUARD SERVICES II (RFP),2017-10-31,51137,4600 CLAIRTON BLVD.,"PITTSBURGH,PA 15236",Jim Littler,jlittler@smssi.com,412-719-3021,412-781-8057,
County,7341,EP,"E.H. GRIFFITH, INC.",REPAIR: HEAVY EQUIPMENT II,2015-09-30,51048,2250 PALMER STREET,"PITTSBURGH, PA 15218",sales@ehgriffith.com,David Guerin,800-245-1224,412-271-2614,
